BGM#,SD Label,Game Title,Track Title,Console,Track Type,Location,Composers,Platform,Year of Release,Youtube URL
154,Best VGM 154,The World Ends With You,O-Parts,DS,BOSS,Metal Corehog / Tigris Cantus,Takeharu Ishimoto,DS,2008,https://youtu.be/EvICLnXYENU
155,Best VGM 155,Castlevania: Return of Dracula,The Cave,SNES,LEVEL,Stage 3-1: The Cave,Masanori Adachi & Taro Kudou,SNES,1991,https://youtu.be/dnevUU_1mz4
156,Best VGM 156,Legend of Mana,Earth Painting,PS1,LEVEL,Underworld / Caves,Yoko Shimomura,PS1,2000,https://youtu.be/efLH3A1bFSg
157,Best VGM 157,Paper Mario: Dark Prognosticus,Sammer's Kingdom,WII,LEVEL,World 6: Sammer's Kingdom,Naoko Mitome & Chika Sekigawa,Wii,2007,https://youtu.be/n_f8QxmRtp4
158,Best VGM 158,Shadow Hearts,Callback From Jesus,PS2,LEVEL,Mysterious Monastery,Yoshitaka Hirota,PS2,2001,https://youtu.be/dqIJHqDXywc
159,Best VGM 159,Final Fantasy VIII,Force Your Way,PS1,BOSS,Boss Battles,Nobuo Uematsu,PS1,1999,https://youtu.be/MoS9U5kSiIY
160,Best VGM 160,StarFox,Corneria,SNES,LEVEL,Corneria,Hajime Hirasawa,SNES,1993,https://youtu.be/XcqgwOLIZx0
161,Best VGM 161,Breath of Fire V,Electric Power Building,PS2,LEVEL,PowerOne (Top Sector Area),Hitoshi Sakimoto,PS2,2002,https://youtu.be/w_nBjGph_UY
162,Best VGM 162,Final Fantasy V,Walking The Snowy Mountains,SNES,LEVEL,North Mountain / Drakevale,Nobuo Uematsu,SNES,1992,https://youtu.be/c4ys24XGf7k
163,Best VGM 163,GoldenEye 007: The Game,Byelomorye Dam,N64,LEVEL,Mission 1: Byelomorye Dam (Mission 1-i),Graeme Norgate,N64,1997,https://youtu.be/BSeLrUBvq3A
164,Best VGM 164,Castlevania: Curse of Darkness,Forest Of Jigramunt,PS2,LEVEL,Forest Of Jigramunt,Michiru Yamane,PS2,2005,https://youtu.be/fsS5Zd1rie8
165,Best VGM 165,Earthbound,Winters,SNES,LEVEL,Winters,Keiichi Suzuki,SNES,1995,https://youtu.be/AyAYMyAHy5M
166,Best VGM 166,Illusion of Gaia,Great Wall Of China,SNES,LEVEL,Great Wall Of China,Yasuhiro Kawaaki,SNES,1993,https://youtu.be/XXB8Ko9eXDM
167,Best VGM 167,Mass Effect,M4 Part II,7TH,SCENE,Staff Credits,Sam Hulick,X360 / PS3 / PC,2007,https://youtu.be/GJI6ogURekE
168,Best VGM 168,Chrono Trigger,Secret Of The Forest,SNES,LEVEL,Guardia Forest / Forest Ruins / Cursed Woods,Yasunori Mitsuda,SNES,1995,https://youtu.be/5CkyD8ZMhms
169,Best VGM 169,Breath of Fire III,Falling Green,PS1,LEVEL,Cedar Woods,Yoshino Aoki & Akari Kaida,PS1,1998,https://youtu.be/iKVOTqoksJQ
170,Best VGM 170,Soukaigi,Fire Wire,PS1,LEVEL,Stage 2,Hiroki Kikuta,PS1,1998,https://youtu.be/lUpGIq4d69U
171,Best VGM 171,Final Fantasy XI,Female Mithra,PS2,MENU,Character Creation ~ Female Mithra Race Selection,Nobuo Uematsu,PC,2002,https://youtu.be/aq_2lQSLN6Y
172,Best VGM 172,Donkey Kong Country: Donkey's Kong Caper,Aquatic Ambience,SNES,LEVEL,Coral Capers / Clam City / Croctopus Chase / Poison Pond,David Wise,SNES,1994,https://youtu.be/cFxT1Fu64TM
173,Best VGM 173,Alundra,The Wind That Shook The Earth,PS1,LEVEL,Overworld,Kouhei Tanaka,PS1,1997,https://youtu.be/zuGGAQt9LT0
174,Best VGM 174,Silent Hill 3,Stray Child,PS2,THEME,Vincent Smith,Akira Yamoaka,PS2 / PC,2003,https://youtu.be/xXB116fSFcE
175,Best VGM 175,Gremlins 2: The Game,Clamp Center Offices,NES,LEVEL,Stage 1,Naoki Kodaka,NES,1990,https://youtu.be/1pbtWo63rYw
176,Best VGM 176,Final Fantasy VII,One-Winged Angel,PS1,BOSS,FINAL BOSS ~ Savior Sephiroth,Nobuo Uematsu,PS1,1997,https://youtu.be/UbGJ19fCg-g
177,Best VGM 177,Grandia II,My Next Big Meal!,DC,BOSS,Boss Battles,Noriyuki Iwadare,Dreamcast,2000,https://youtu.be/pIQd_oPBbtM
178,Best VGM 178,Extreme-G,Ancient Speedway,N64,LEVEL,Highway Tracks,Simon Robertson & Stephen Root,N64,1997,https://youtu.be/vZODQhB3Rsg
179,Best VGM 179,Secret of Mana,The Colour Of The Summer Sky,SNES,LEVEL,Potos Village,Hiroki Kikuta,SNES,1993,https://youtu.be/WohqpIg2ULc
180,Best VGM 180,Sonic the Hedgehog 2,Chemical Plant,GEN,LEVEL,Chemical Plant,Masato Nakamura,Genesis,1992,https://youtu.be/Id67uBo3VAA
181,Best VGM 181,Way of the Samurai,Righteous Soul,PS2,SCENE,Staff Credits,Noriyuki Asakura,PS2,2002,https://youtu.be/FtZ3K870dN8
182,Best VGM 182,Mario Kart WII,Moo Moo Meadows,WII,LEVEL,Moo Moo Meadows,Asuka Ota & Ryo Nagamatsu,Wii,2008,https://youtu.be/RBsXYtwbNY8
183,Best VGM 183,Shadow Hearts: From the New World,Dead Fingers Talk,PS2,PLAY,North America ~ Enemy Battles,Yoshitaka Hirota,PS2,2006,https://youtu.be/ewzof2aF3Fk
184,Best VGM 184,Soma Bringer,Adel Desert,DS,LEVEL,Adel Desert,Yasunori Mitsuda,DS,2008,https://youtu.be/9AH1wnYKQeQ
185,Best VGM 185,Tales of Symphonia,Snow Light,GC,LEVEL,Flanoir,Motoi Sakuraba,GameCube,2003,https://youtu.be/482cG54Z30w
186,Best VGM 186,Super Mario Land 2,Star Maze,GBC,LEVEL,Space Zone ~ Stage 2,Kazumi Totaka,Game Boy,1992,https://youtu.be/v0i_kVaW2z8
187,Best VGM 187,Kingdom Hearts,Traverse Town,PS2,LEVEL,Traverse Town,Yoko Shimomura,PS2,2002,https://youtu.be/SVrKvsu7GkQ
188,Best VGM 188,Donkey Kong Country 3: Dixie Kong's Double Trouble!,Water World [GBA],GBA,LEVEL,Bazza's Blockade / Fish Food Frenzy / Floodlit Fish / Ripcurl Reef,David Wise,GBA,2005,https://youtu.be/WKiIAVgBoPo
189,Best VGM 189,Ico,You Were There,PS2,SCENE,Ending,Michiru Oshima,PS2,2002,https://youtu.be/BCsM5Yx9EF8
190,Best VGM 190,Goemon's Adventure,Kai Highway,N64,LEVEL,Kai Highway / Mt. Fuji,"Shigeru Araki, Yusuke Kato Saiko Miki & Yasumasa Kitagawa",N64,1997,https://youtu.be/jP8ahQwx5FI
191,Best VGM 191,Wild Arms 4,The Desire To Fly Exceeds Words,PS2,SCENE,Ending,Masato Kouda,PS2,2006,https://youtu.be/Al-qYBOLlls
192,Best VGM 192,Final Fantasy IV,Final Battle,SNES,BOSS,FINAL BOSS ~ Zeromus,Nobuo Uematsu,SNES,1991,https://youtu.be/4y842eu977c
193,Best VGM 193,Ōkami,Orca Cruise,WII,PLAY,Ryoshima Coast ~ Riding Orca,Rei Kondo,PS2 / Wii,2006,https://youtu.be/uHBGetmIMlM
194,Best VGM 194,Suikoden III,Exceeding Love,PS2,SCENE,Opening,"Michiru Yamane, Keiko Fukami & Masahiko Kimura",PS2,2002,https://youtu.be/ssXJH7Xtrbg
195,Best VGM 195,Ace Combat 0: Belkan War,MERLON,PS2,LEVEL,Mission 8: MERLON,Junichi Nakatsuru,PS2,2006,https://youtu.be/Djbijgzp9Wk
196,Best VGM 196,Final Fantasy X-2,Besaid,PS2,LEVEL,Besaid,Noriko Matsueda & Takahito Eguch,PS2,2003,https://youtu.be/bstWnH6P_Vc
197,Best VGM 197,Diablo,Tristram,PC,LEVEL,Tristram,Matt Uelmen,PC / PS1,1997,https://youtu.be/SPwRUz9df3s
198,Best VGM 198,Faxanadu,Land Of Dwarves,NES,LEVEL,Land Of Dwarves,Jun Chikuma,NES,1987,https://youtu.be/Au-23T488N8
199,Best VGM 199,Wild Arms 5,The Road To Tomorrow Follows Behind You,PS2,LEVEL,Wayward Path,Noriyasu Agematsu,PS2,2007,https://youtu.be/hdBBrWAyguI
200,Best VGM 200,The Legend of Zelda,Dungeon,NES,LEVEL,Dungeons,Koji Kondo,NES,1986,https://youtu.be/4Snynk9Fr1A
201,Best VGM 201,Chrono Cross,Time's Scar,PS1,SCENE,Intro,Yasunori Mitsuda,PS1,2000,https://youtu.be/0181PE8XYgQ
202,Best VGM 202,Metroid Fusion,Sector 1,GBA,LEVEL,Sector 1,Minako Hamano,GBA,2002,https://youtu.be/CEI2iA5gCxs
203,Best VGM 203,Eternal Sonata,Leap The Precipice,X360,PLAY,Enemy Battles,Motoi Sakuraba,X360 / PS3,2007,https://youtu.be/agF5_L1i9zk
204,Best VGM 204,Breath of Fire,Fate,SNES,THEME,Sara,Yasuaki Fujita,SNES,1994,https://youtu.be/EIzYZQ0iET0
205,Best VGM 205,Tales of Legendia,"The Birds Chirp, I Sing",PS2,LEVEL,Chapter 1 ~ Mountain Path,Go Shiina,PS2,2006,https://youtu.be/70mPa1D09gw
206,Best VGM 206,Yoshi's Island,Castle,SNES,LEVEL,Castle Stages,Koji Kondo,SNES,1995,https://youtu.be/fGAiXAvD5ps
207,Best VGM 207,Final Fantasy IX,Wild Skirmish,PS1,PLAY,Enemy Battles,Nobuo Uematsu,PS1,2000,https://youtu.be/hoMqUEdzVfA
208,Best VGM 208,Dragon Ball Z: Butōden 2,Vegeta's Theme,SNES,THEME,Vegeta,Kenji Yamamoto,SNES,1993,https://youtu.be/ocNGnkQba3E
209,Best VGM 209,Pokémon Card Battle,Club Master Duel!,GBC,BOSS,Club Masters,Ichiro Shimakura,Game Boy,1998,https://youtu.be/EgquXsqcWcM
210,Best VGM 210,Opoona,Bravo Company,WII,LEVEL,Intelligent Sea ~ Bravo Company,Mitsuhiro Kaneda,Wii,2008,https://youtu.be/PrSdSlkDUeY
211,Best VGM 211,Silent Hill: Origins,Blowback,PSP,SCENE,Staff Credits,Akira Yamaoka,PSP / PS2,2007,https://youtu.be/9RluNvqJZI4
212,Best VGM 212,Mega Man 3,Wily's Laboratory,NES,LEVEL,Wily's Laboratory (Wily's Stage 3 & 4),"Yasuki ""Bun Bun"" Fujita",NES,1990,https://youtu.be/IEHCPePpbiI
213,Best VGM 213,Streets of Rage,Fighting In The Street,GEN,LEVEL,Round 1,Yuzo Koshiro,Genesis,1991,https://youtu.be/1B5Y4ffg7YY
214,Best VGM 214,Final Fantasy VI,Dancing Mad,SNES,BOSS,FINAL BOSS ~ Almighty Kefka,Nobuo Uematsu,SNES,1994,https://youtu.be/d_miy5Gh_n8
215,Best VGM 215,The Legend of Zelda: Ocarina of Time,Backwood Chateau,N64,LEVEL,Backwood Chateau (Forest Temple),Koji Kondo,N64 / 3DS,1998,https://youtu.be/i_qDSvOIS2w
216,Best VGM 216,Xenosaga Episode II: Jenseits von Gut und Böse,Fatal Fight,PS2,SCENE,Old Miltia (Prologue) ~ Captain Jin Uzuki VS Colonel Margulis,Yuki Kajiura,PS2,2005,https://youtu.be/EbYisxJd4w8
217,Best VGM 217,Daytona USA,Sky High,ARC,LEVEL,Expert Course,Takenobu Mitsuyoshi,Saturn,1995,https://youtu.be/mIRQUZZgtfA
218,Best VGM 218,Skies of Arcadia,Pirate Island,DC,LEVEL,Pirate Island,Yutaka Minobe & Tatsuyuki Maeda,Dreamcast / GameCube,2000,https://youtu.be/yaS58Xz9kx0
219,Best VGM 219,Asterix and the Solo Rescue,Ending,NES,SCENE,Ending & Credits,Alberto Jose Gonzalez,NES,1993,https://youtu.be/2L7IBTmWfIs
220,Best VGM 220,Yoshi's Islands,Wild & Windy,DS,LEVEL,Wild & Windy Stages,Yutaka Minobe & Chamy Ishi,DS,2006,https://youtu.be/291Wnb-nIt8
221,Best VGM 221,Secret of Mana,Into The Thick Of It,SNES,LEVEL,Field (Overworld),Hiroki Kikuta,SNES,1993,https://youtu.be/K2gQjvxeWh0
222,Best VGM 222,Grandia III,Attack With Conviction!,PS2,PLAY,Enemy Battles,Noriyuki Iwadare,PS2,2005,https://youtu.be/4uTyer_ruhw
223,Best VGM 223,Super Mario Bros. 3,Athletic,NES,LEVEL,Mushroom Kingdom Stages,Koji Kondo,NES,1990,https://youtu.be/VGv_RDNlFUU
224,Best VGM 224,Castlevania: Dawn of Sorrow,Condemned Tower,DS,LEVEL,Condemned Tower,Michiru Yamane,DS,2005,https://youtu.be/t4TUI1Sjq38
225,Best VGM 225,Tetris Attack,Poochy's Theme,SNES,THEME,Poochy,Yuka Tsujiyoko,SNES,1996,https://youtu.be/zjR5O4hk3Gw
226,Best VGM 226,Shadow Hearts: Covenant,The Fate,PS2,SCENE,The Party confront Masaji Kato as he summons the Asuka Stone Platform Bell,Yoshitaka Hirota,PS2,2004,https://youtu.be/MZ4UF9HS0SI
227,Best VGM 227,Ragnarok Online 2,Clap And Walk,PC,THEME,"Unused ~ A Beach Theme presumably, but was removed in the Legend Of The Second Version",Yoko Kanno,PC,2007,https://youtu.be/t3fBnjqfUFw
228,Best VGM 228,Blaster Master,Forest,NES,LEVEL,Stage 1,Naoki Kodaka,NES,1988,https://youtu.be/C1E2EARV4hQ
229,Best VGM 229,Star Ocean II: The Second Story,Shower Of Blossoms,PS1,LEVEL,Krosse City,Motoi Sakuraba,PS1,1999,https://youtu.be/aD2By53BVts
230,Best VGM 230,Plok,Akrillic,SNES,LEVEL,World 2: Akrillic Island ~ Stage 2: Sleepy Dale,Geoff Follin & Tim Follin,SNES,1993,https://youtu.be/RFFnSBA6Dj8
231,Best VGM 231,Wild Arms 5,Terrible Monster Attacking Crew,PS2,BOSS,Boss Battles,Noriyasu Agematsu,PS2,2007,https://youtu.be/2wYAjt6otzc
232,Best VGM 232,Chrono Trigger,To Far Away Times,SNES,SCENE,Staff Credits,Yasunori Mitsuda,SNES,1995,https://youtu.be/Z-_ODgab3UI
233,Best VGM 233,Breath of Fire IV,Yet The Merchants Will Go,PS1,LEVEL,Synesta,Yoshino Aoki,PS1 / PC,2000,https://youtu.be/fdQxcZMqcjU
234,Best VGM 234,Earthbound,You've Come Far,SNES,SCENE,Saturn Valley ~ Coffee Break,Keiichi Suzuki & Hirokazu Tanaka,SNES,1995,https://youtu.be/_HYUzn6alUM
235,Best VGM 235,Atelier Iris 3: Grand Phantasm,Rain Of Blossoms,PS2,BOSS,Yula,Ken Nakagawa,PS2,2006,https://youtu.be/_Gh7HmAGawM
236,Best VGM 236,Castlevania II: Simon's Quest,Silence Of The Daylight,NES,LEVEL,Villages ~ Day,Kinuyo Yamashita & Satoe Terashima,NES,1988,https://youtu.be/0huZ68xdzSA
237,Best VGM 237,Lost Odyssey,A Sign Of Hope,X360,SCENE,Lirum's Miracle,Nobuo Uematsu,X360,2007,https://youtu.be/5HIe7OQmwu0
238,Best VGM 238,Super Mario World,Castle,SNES,LEVEL,Castle Stages,Koji Kondo,SNES,1991,https://youtu.be/fosGFV-cqQQ
239,Best VGM 239,Donkey Kong Country 2: Diddy's Kong Quest,Hot Head Bop,SNES,LEVEL,Hothead Hop / Redhot Ride / Fiery Furnace,David Wise,SNES,1995,https://youtu.be/5bDXqF3i8u0
240,Best VGM 240,Gargoyle's Crest III,Metropolis Of Ruin,SNES,LEVEL,Stage 2: Village,Toshihiko Horiyama,SNES,1994,https://youtu.be/Hv80sgK6frI
241,Best VGM 241,Katamari Damacy,Cherry Blossom Colour Season,PS2,LEVEL,Make Taurus / Make Pisces,"Yuri Misumi, Nobue Matsubara & Sakamoto-chan",PS2,2004,https://youtu.be/BWbp5ldAg2A
242,Best VGM 242,The Legend of Zelda: Wind Waker,King Of Red Lions,GC,PLAY,Riding the King Of Red Lions across the Great Sea,Koji Kondo,GameCube,2003,https://youtu.be/jVfItHDUxoQ
243,Best VGM 243,Soma Bringer,"Amaty, The Ancient City",DS,LEVEL,Amaty City,Yasunori Mitsuda,DS,2008,https://youtu.be/ruH8EC5rXnA
244,Best VGM 244,Suikoden V,Wind Of Phantom,PS2,THEME,Main Theme,Yuji Toriyama,PS2,2006,https://youtu.be/7PdriY37J34
245,Best VGM 245,Etrian Odyssey II: Heroes of Lagaard,Cherry Tree Bridge,DS,LEVEL,Labyrinth 4: Cherry Tree Bridge,Yuzo Koshiro,DS,2008,https://youtu.be/SZP-Pepf5uU
246,Best VGM 246,Bully,Defender Of The Castle,PS2,PLAY,Chapter 4 ~ Mission 6: Defender of the Castle,Shawn Lee,PS2 / Wii / X360,2006,https://youtu.be/g79TR8EiO8U
247,Best VGM 247,Pokémon Red / Blue / Yellow,Lavender Town,GB,LEVEL,Lavender Town,Junichi Mitsuda,Game Boy,1996,https://youtu.be/LGay45dU_mE
248,Best VGM 248,Street Fighter,Blanka's Theme,ARC,THEME,Blanka,Isao Abe & Syun Nishigaki,SNES,1994,https://youtu.be/Tc9Lz9F5VPI
249,Best VGM 249,Banjo-Kazooie,Treasure Trove Cove,N64,LEVEL,Treasure Trove Cove,Grant Kirkhope,N64,1998,https://youtu.be/KWXHa1hGavA
250,Best VGM 250,One Piece: Grand Battle 2,Bell Of Judgement,PS1,LEVEL,Loguetown,"Yuichi Hirose, Yasuhito Watanabe, DARK., Kohei Tanaka & Kazuki Yao",PS1,2002,https://youtu.be/m3xy97nFn5k
251,Best VGM 251,Xenogears,"Solaris, Eden Of Heaven",PS1,LEVEL,Solaris ~ Second-Class Block,Yasunori Mitsuda,PS1,1998,https://youtu.be/_nFmZHHs5do
252,Best VGM 252,Bayou Billy,Main Theme,NES,THEME,Main Theme,Kyouhei Sada,NES,1988,https://youtu.be/zY8UDWkwzww
253,Best VGM 253,Skies of Arcadia,Kingdom Of Ixa'taka,DC,LEVEL,Horteka,Yutaka Minobe & Tatsuyuki Maeda,Dreamcast / GameCube,2000,https://youtu.be/dffEsJK0gIY
254,Best VGM 254,The Legend of Zelda: Minish Cap,Droplet Temple,GBA,LEVEL,Droplet Temple,Mitsuhiko Tanako,GBA,2004,https://youtu.be/aMHunRtxhsA
255,Best VGM 255,Bomberman Global,Blue Resort,N64,LEVEL,World 2: Blue Resort,Akifumi Tada,N64,1997,https://youtu.be/7Ivo4o_BHxg
256,Best VGM 256,Dragon Quest II: Luminaries of the Legendary Line,A Lonely Youth,NES,LEVEL,Moonbrooke,Koichi Sugiyama,NES,1993,https://youtu.be/VJDxj1TibJ8
257,Best VGM 257,Radiata Stories,Song Of The Freedom Fighters,PS2,LEVEL,Home Town,Noriyuki Iwadare,PS2,2005,https://youtu.be/UlBBKvCUokc
258,Best VGM 258,Super Mario Bros. 2,Subcon,NES,LEVEL,Subcon Stages,Koji Kondo,NES,1988,https://youtu.be/bXY-hUKEzJA
259,Best VGM 259,Wild Arms 4,The Shining Spear Pierces The Darkness,PS2,BOSS,Scythe Riebaure,Masato Kouda,PS2,2006,https://youtu.be/yZRkFFawytA
260,Best VGM 260,Donkey Kong Country 3: Dixie Kong's Double Trouble!,Water World [SNES],SNES,LEVEL,Bazza's Blockade / Fish Food Frenzy / Floodlit Fish / Ripcurl Reef,Eveline Fischer,SNES,1996,https://youtu.be/4MCiATfrZCQ
261,Best VGM 261,Final Fantasy VII-0,The Price Of Freedom,PSP,PLAY,Ending ~ Zack's Last Stand Against Shinra,Takeharu Ishimoto,PSP,2007,https://youtu.be/lCSmf6oFsdI
262,Best VGM 262,Cool Spot Shreds The World,Pier Pressure,SNES,LEVEL,Pier Pressure / Dock 'n' Roll,Tommy Tallarico,SNES,1993,https://youtu.be/5rVsRV3o-So
263,Best VGM 263,Mega Man X6,Infinity Mijinion's Stage,PS1,LEVEL,Infinity Mijinion's Stage,Naoto Tanaka,PS1,2001,https://youtu.be/TcQw99uaPw8
264,Best VGM 264,Adventures of Mana,In Search Of The Sacred Sword,GB,LEVEL,Overworld,Kenji Ito,Game Boy,1991,https://youtu.be/XJgGXuy64TE
265,Best VGM 265,Baten Kaitos,Gentle Wind,GC,LEVEL,"Cebalrai, The Farming Hamlet",Motoi Sakuraba,GameCube,2003,https://youtu.be/63bsj4pRkuQ
266,Best VGM 266,Maniac Mansion,Dave's Theme,NES,THEME,Dave,"David Warhol, George Sanger, Chris Grigg & David Lawrence",NES,1988,https://youtu.be/IikNu10cqOU
267,Best VGM 267,Xenosaga Episode III: Also Sprach Zarathrustra,Hepatica (KOS-MOS),PS2,BOSS,T-elos (2),Yuki Kajiura,PS2,2006,https://youtu.be/ySocGVRhAMY
268,Best VGM 268,Mega Man 10,We're The Robots,7TH,LEVEL,Wily's Laboratory (Wily's Stage 3 & 4),"Ippo Yamada, Ryo Kawakami Yu Shimoda, Hiroki Isogai & Ogeretsu Kun",Wii / X360 / PS3,2008,https://youtu.be/XGXBLJbCOzo
269,Best VGM 269,Enchanted Arms,The People Of London City,X360,LEVEL,London,Yuki Ichiki,X360 / PS3,2006,https://youtu.be/t-tEmZa0Go0
270,Best VGM 270,Shadow Hearts: From the New World,Le Gran Luxe,PS2,BOSS,Boss Battles ~ 1st Half of the Game,Yoshitaka Hirota,PS2,2006,https://youtu.be/TFp2fdaa10E
271,Best VGM 271,Professor Layton and the Curious Village,A True Gentleman,DS,THEME,Professor Layton,Tomohito Nishiura,DS,2007,https://youtu.be/w32Db0HqtLg
272,Best VGM 272,Castlevania: Rondo of Blood,Beginning,MSX,LEVEL,Stage 4-2,"Tomoya Tomita, Masanari Iwata, Harumi Ueko & Masahiko Kimura",SNES,1995,https://youtu.be/sy0Ikwep5mU
273,Best VGM 273,Seventh Seal: Resurrection of the Dark Lord,Rhythm Of Red,PC,LEVEL,"Ingeny's Home Village (I have no idea what the Place is actually called, as it's only in Taiwanese)",Yasunori Mitsuda,PC,2002,https://youtu.be/7hTDu9r8glA
274,Best VGM 274,Breath of Fire III,"People, Cats, Birds & Sea Lice",PS1,LEVEL,Rhapala,Yoshino Aoki & Akari Kaida,PS1,1998,https://youtu.be/j-ydj08-Uug
275,Best VGM 275,Dragon Ball Z: Butōden,Perfect Cell's Theme,SNES,THEME,Perfect Cell,Kenji Yamamoto,SNES,1993,https://youtu.be/O0rIw_bTaeE
276,Best VGM 276,Chrono Trigger,Guardia Millenial Fair,SNES,LEVEL,Present Day ~ Millenial Fair,Yasunori Mitsuda,SNES,1995,https://youtu.be/4cIbV8UGyZU
277,Best VGM 277,Final Fantasy V,Nature's Loathing Incarnate,SNES,BOSS,FINAL BOSS ~ Exdeath,Nobuo Uematsu,SNES,1992,https://youtu.be/3Qc9c0VH1Fw
278,Best VGM 278,Day of Disaster,Main Theme,WII,THEME,Main Theme,Yoshihiro Ike,Wii,2008,https://youtu.be/0RjPcGcHlvQ
279,Best VGM 279,Speed Freaks,City,PS1,LEVEL,Easy Cup ~ Neon City / Medium Cup ~ Silver City / Hard Cup ~ Gold City,Martin Schioler,PS1,1999,https://youtu.be/BQphq1ITynM
280,Best VGM 280,Lost Odyssey,Dark Saints,X360,BOSS,Dark Saints,Nobuo Uematsu,X360,2007,https://youtu.be/Qrxb9tF6TPU
281,Best VGM 281,Pokémon Ruby / Sapphire / Emerald,Sootopolis City,GBA,LEVEL,Sootopolis City,Go Ichinose,GBA,2003,https://youtu.be/5x8eIU4I6W4
282,Best VGM 282,Starcraft,Terran Morale,PC,THEME,The Terrans,"Derek Duke, Jason Hayes & Glenn Stafford",PC,1998,https://youtu.be/X5W54_zvJg0
283,Best VGM 283,Driver,Miami Night Cop,PS1,PLAY,Avoiding the Police in Miami at Night,Allister Brimble,PS1,1999,https://youtu.be/ic2ZZAkdlLo
284,Best VGM 284,The Legend of Zelda: A Link to the Past,Hyrule Dungeons,SNES,LEVEL,Eastern Palace / Desert Palace / Tower Of Hera,Koji Kondo,SNES,1991,https://youtu.be/vAdVSmM4yIc
285,Best VGM 285,Batman: Return of the Joker,Gotham Rooftops [NES],NES,LEVEL,Stage 1 / Stage 6,"Naoki Kodaka, Hara Nobuyuki & Shinichi Seya",NES,1991,https://youtu.be/hvLdnmcVP3E
286,Best VGM 286,Dark Cloud 2,Underground Water Channel,PS2,LEVEL,Underground Water Channel,Tomohito Nushiura,PS2,2004,https://youtu.be/dbUUuVaWPas
287,Best VGM 287,Kingdom Hearts II,Lazy Afternoons,PS2,LEVEL,Twilight Town ~ Roxas' Segments,Yoko Shimomura,PS2,2006,https://youtu.be/uff67xXYDOA
288,Best VGM 288,Earthbound,Lost Underworld,SNES,LEVEL,Lost Underworld,Keiichi Suzuki & Hirokazu Tanaka,SNES,1995,https://youtu.be/TiLZGliftrA
289,Best VGM 289,Romancing SaGa: Minstrel Song,Prelude Of Battle,PS2,PLAY,Enemy Battles,Kenji Ito & Tsuyoshi Sekito,PS2,2005,https://youtu.be/7LnaqYfcv7c
290,Best VGM 290,Paladin's Quest,Magic Town,SNES,LEVEL,Magic School Town,Kohei Tanaka,SNES,1992,https://youtu.be/L1sJNeLByCY
291,Best VGM 291,Kirby's Crystal Shards,Final Battle,N64,BOSS,FINAL BOSS ~ Anti Matter (02),Jun Ishikawa & Hirokazu Ando,N64,2000,https://youtu.be/gnyGgdsxJLc
292,Best VGM 292,Opoona,Fonthene,WII,LEVEL,Fonthene Village,Noriyuki Kamikura,Wii,2008,https://youtu.be/ofKoOhdoM9I
293,Best VGM 293,Lufia III,Albano Town,GBC,LEVEL,Albano Town,"Yasunori Shiono, Akiko Ishibashi, Tomoko Morita & Yukio Nakajima",Game Boy Color,2001,https://youtu.be/UM2Q4REx4Qo
294,Best VGM 294,Mother 3,Natural Killer Cyborg!,GBA,BOSS,Natural Killer Cyborg,Shogo Sakai,GBA,2006,https://youtu.be/8EdE2iVNrNw
295,Best VGM 295,Wild Arms 4,Over The Wind,PS2,LEVEL,Forsaken Road,Masato Kouda,PS2,2006,https://youtu.be/RXK0-Zzd3V4
296,Best VGM 296,Final Fantasy X,Luca,PS2,LEVEL,Luca,Junya Nakano,PS2,2001,https://youtu.be/7ij8oy5YJ78
297,Best VGM 297,Castlevania: Order of Ecclesia,Jaws Of A Scorched Earth,DS,LEVEL,Tymeo Mountains,Michiru Yamane,DS,2008,https://youtu.be/-9Alpr6WEvU
298,Best VGM 298,Yoshi's Island,Flower Garden,SNES,LEVEL,Flower Garden Stages,Koji Kondo,SNES,1995,https://youtu.be/LzbNi06k804
299,Best VGM 299,Command & Conquer: Red Alert,Hell March,PC,THEME,Main Theme,Frank Klepacki,PC,1996,https://youtu.be/HIot_E8wvQw
300,Best VGM 300,Chrono Trigger,The Brink Of Time,SNES,LEVEL,The Brink Of Time (Hub World),Yasunori Mitsuda,SNES,1995,https://youtu.be/wP5DaGErQZ0
301,Best VGM 301,Shenmue,Main Theme,DC,THEME,Main Theme,Ryuji Iuchi,Dreamcast,2000,https://youtu.be/fVCrhSWo0fk
302,Best VGM 302,Tales of Symphonia,Dry Trail,GC,LEVEL,Latheon Gorge,Motoi Sakuraba,GameCube,2003,https://youtu.be/-xA6kXWQAcY
303,Best VGM 303,Mega Man 3,Snake Man's Stage,NES,LEVEL,Snake Man's Stage,"Yasuki ""Bun Bun"" Fujita",NES,1990,https://youtu.be/ubO_i5SKQhU
304,Best VGM 304,Sonic the Hedgehog 3,Hydro City: ACT 2,GEN,LEVEL,Hydro City ~ Act 2,Masayuki Nagao,Genesis,1994,https://youtu.be/QS5CuMaNXHg
305,Best VGM 305,Etrian Odyssey,Withered Forest,DS,LEVEL,4th Stratum: Sandy Barrens,Yuzo Koshiro,DS,2007,https://youtu.be/MOOYPS4uAAY
306,Best VGM 306,Zone of the Enders III: The 2nd Runner,Beyond The Bounds,PS2,SCENE,Intro,"Maki Kirioka, Norihiko Hibino, Akihiro Honda & Toshiyuki",PS2,2003,https://youtu.be/_EMroW_hr_k
