BVGM#,SD Label,Game Title,Piece Title,Composer(s),Platform,Year of release,YouTube URL
144,Best VGM 144,Snowboard Kids,Big Snowman,Isao Kasai & Tomohiko Satou,N64,1997,https://youtu.be/V14cB7Ophmo
145,Best VGM 145,Silent Hill : Origins,Prologue (O.R.T.),Akira Yamaoka,PSP / PS2,2007,https://youtu.be/RU1L2agy4Js
146,Best VGM 146,Donkey Kong Country,Fear Factory,David Wise,SNES,1994,https://youtu.be/xkOi1EF8FbQ
147,Best VGM 147,SMT : Digital Devil Saga 2,Divine Entity (Final Battle),Shoji Meguro,PS2,2005,https://youtu.be/owNVufSIk2s
148,Best VGM 148,Golden Sun,Kolima Forest,Motoi Sakuraba,GBA,2001,https://youtu.be/9WIT_UtFCLo
149,Best VGM 149,Lufia,Fortress of Doom (Last Duel),"Naomi Kuroda, Aki Zaitsu & Yasunori Shiono",SNES,1993,https://youtu.be/QXG6_vSBXEE
150,Best VGM 150,Ridge Racer (PSP),Blue Topaz Remix,"Takayuki ""J99"" Aihara",PSP,2004,https://youtu.be/DEGqA5TwJNw
151,Best VGM 151,Guardian's Crusade,Opening,"Mutsumi Ishimura, Akihi Motoyama, Yasuhiro Nakano, Fumio Tanabe & Luna Umegaki",PS1,1998,https://youtu.be/XIhGMTn5UoA
152,Best VGM 152,Tales of Symphonia,Town of Wind and Ruins (Asgard),Motoi Sakuraba,GameCube,2003,https://youtu.be/K-dFwflb-Iw
153,Best VGM 153,Mega Man 2,Dr. Wily Stage 1 / 2,"Manami Matsumae, Yoshihiro Sakaguchi & Ogeretsu Kun",NES,1989,https://youtu.be/VaSmQfIiPPY
154,Best VGM 154,The World Ends With You,O-Parts,Takeharu Ishimoto,DS,2008,https://youtu.be/EvICLnXYENU
155,Best VGM 155,Super Castlevania IV,Cave,Masanori Adachi & Taro Kudou,SNES,1991,https://youtu.be/dnevUU_1mz4
156,Best VGM 156,Legend of Mana,Earth Painting,Yoko Shimomura,PS1,2000,https://youtu.be/efLH3A1bFSg
157,Best VGM 157,Super Paper Mario,Sammer's Kingdom,Naoko Mitome & Chika Sekigawa,Wii,2007,https://youtu.be/n_f8QxmRtp4
158,Best VGM 158,Shadow Hearts,Callback From Jesus,Yoshitaka Hirota,PS2,2001,https://youtu.be/dqIJHqDXywc
159,Best VGM 159,Final Fantasy VIII,Force Your Way,Nobuo Uematsu,PS1,1999,https://youtu.be/MoS9U5kSiIY
160,Best VGM 160,Star Fox,Corneria,Hajime Hirasawa,SNES,1993,https://youtu.be/XcqgwOLIZx0
161,Best VGM 161,Breath of Fire V,Electric Power Building,Hitoshi Sakimoto,PS2,2002,https://youtu.be/w_nBjGph_UY
162,Best VGM 162,Final Fantasy V,Walking the Snowy Mountains,Nobuo Uematsu,SNES,1992,https://youtu.be/c4ys24XGf7k
163,Best VGM 163,Goldeneye,Byelomorye Dam,Graeme Norgate,N64,1997,https://youtu.be/BSeLrUBvq3A
164,Best VGM 164,Castlevania : Curse of Darkness,The Forest of Jigramunt,Michiru Yamane,PS2,2005,https://youtu.be/fsS5Zd1rie8
165,Best VGM 165,Earthbound,Winters,Keiichi Suzuki,SNES,1995,https://youtu.be/AyAYMyAHy5M
166,Best VGM 166,Illusion of Gaia,China's Great Wall,Yasuhiro Kawaaki,SNES,1993,https://youtu.be/XXB8Ko9eXDM
167,Best VGM 167,Mass Effect,Credits (M4 Part II),Sam Hulick,X360 / PS3 / PC,2007,https://youtu.be/GJI6ogURekE
168,Best VGM 168,Chrono Trigger,Secret of the Forest,Yasunori Mitsuda,SNES,1995,https://youtu.be/5CkyD8ZMhms
169,Best VGM 169,Breath of Fire III,Cedar Forest (Falling Green),Yoshino Aoki & Akari Kaida,PS1,1998,https://youtu.be/iKVOTqoksJQ
170,Best VGM 170,Soukaigi,Fire Wire,Hiroki Kikuta,PS1,1998,https://youtu.be/lUpGIq4d69U
171,Best VGM 171,Final Fantasy XI,Female Mithra,Nobuo Uematsu,PC,2002,https://youtu.be/aq_2lQSLN6Y
172,Best VGM 172,Donkey Kong Country,Aquatic Ambiance,David Wise,SNES,1994,https://youtu.be/cFxT1Fu64TM
173,Best VGM 173,Alundra,The Wind that Shook the Earth,Kouhei Tanaka,PS1,1997,https://youtu.be/zuGGAQt9LT0
174,Best VGM 174,Silent Hill 3,A Stray Child,Akira Yamoaka,PS2 / PC,2003,https://youtu.be/xXB116fSFcE
175,Best VGM 175,Gremlins 2 : The New Batch,Stage 1,Naoki Kodaka,NES,1990,https://youtu.be/1pbtWo63rYw
176,Best VGM 176,Final Fantasy VII,One Winged Angel,Nobuo Uematsu,PS1,1997,https://youtu.be/UbGJ19fCg-g
177,Best VGM 177,Grandia II,Fight!! Ver.3 ~ Boss Battle,Noriyuki Iwadare,Dreamcast,2000,https://youtu.be/pIQd_oPBbtM
