SD BVGM #,First Eng Title,Stylish Game Title,Track Title,Console,Track Type,Location,,
155,Castlevania: Return of Dracula,Castlevania: Return of Dracula,The Cave,SNES,LEVEL,Stage 3-1: The Cave,,
156,Legend of Mana,Legend of Mana,Earth Painting,PS1,LEVEL,Underworld / Caves,,
157,Paper Mario: Dark Prognosticus,Paper Mario: Dark Prognosticus,Sammer's Kingdom,WII,LEVEL,World 6: Sammer's Kingdom,,
158,Shadow Hearts,Shadow Hearts,Callback From Jesus,PS2,LEVEL,Mysterious Monastery,,
159,Final Fantasy VIII,Final Fantasy VIII,Force Your Way,PS1,BOSS,Boss Battles,,
160,StarFox,StarFox,Corneria,SNES,LEVEL,Corneria,,
161,Breath of Fire V,Breath of Fire V,Electric Power Building,PS2,LEVEL,PowerOne (Top Sector Area),,
162,Final Fantasy V,Final Fantasy V,Walking The Snowy Mountains,SNES,LEVEL,North Mountain / Drakevale,,
163,GoldenEye 007: The Game,GoldenEye 007-64,Byelomorye Dam,N64,LEVEL,Mission 1: Byelomorye Dam (Mission 1-i),,
164,Castlevania: Curse of Darkness,Castlevania: Curse of Darkness,Forest Of Jigramunt,PS2,LEVEL,Forest Of Jigramunt,,
165,Earthbound,Mother 2,Winters,SNES,LEVEL,Winters,,
166,Illusion of Gaia,Illusion of Gaia,Great Wall Of China,SNES,LEVEL,Great Wall Of China,,
167,Mass Effect,Mass Effect,M4 Part II,7TH,SCENE,Staff Credits,,
168,Chrono Trigger,Chrono Trigger,Secret Of The Forest,SNES,LEVEL,Guardia Forest / Forest Ruins / Cursed Woods,,
169,Breath of Fire III,Breath of Fire III,Falling Green,PS1,LEVEL,Cedar Woods,,
170,Soukaigi,Soukaigi,Fire Wire,PS1,LEVEL,Stage 2,,
171,Final Fantasy XI,Final Fantasy XI,Female Mithra,PS2,MENU,Character Creation ~ Female Mithra Race Selection,,
172,Donkey Kong Country: Donkey's Kong Caper,DK Country: Donkey's Kong Caper,Aquatic Ambience,SNES,LEVEL,Coral Capers / Clam City / Croctopus Chase / Poison Pond,,
173,Alundra,Alundra,The Wind That Shook The Earth,PS1,LEVEL,Overworld,,
174,Silent Hill 3,Silent Hill 3,Stray Child,PS2,THEME,Vincent Smith,,
175,Gremlins 2: The Game,Gremlins 2: The Game,Clamp Center Offices,NES,LEVEL,Stage 1,,
176,Final Fantasy VII,Final Fantasy VII,One-Winged Angel,PS1,BOSS,FINAL BOSS ~ Savior Sephiroth,,
177,Grandia II,Grandia II,My Next Big Meal!,DC,BOSS,Boss Battles,,
178,Extreme-G,Extreme-G,Ancient Speedway,N64,LEVEL,Highway Tracks,,
179,Secret of Mana,Secret of Mana,The Colour Of The Summer Sky,SNES,LEVEL,Potos Village,,
180,Sonic the Hedgehog 2,Sonic the Hedgehog 2,Chemical Plant,GEN,LEVEL,Chemical Plant,,
181,Way of the Samurai,Way of the Samurai,Righteous Soul,PS2,SCENE,Staff Credits,,
182,Mario Kart WII,Mario Kart WII,Moo Moo Meadows,WII,LEVEL,Moo Moo Meadows,,
183,Shadow Hearts: From the New World,Shadow Hearts III,Dead Fingers Talk,PS2,PLAY,North America ~ Enemy Battles,,
184,Soma Bringer,Soma Bringer,Adel Desert,DS,LEVEL,Adel Desert,,
185,Tales of Symphonia,Tales of Symphonia,Snow Light,GC,LEVEL,Flanoir,,
186,Super Mario Land 2,Super Mario Land 2,Star Maze,GBC,LEVEL,Space Zone ~ Stage 2,,
187,Kingdom Hearts,Kingdom Hearts,Traverse Town,PS2,LEVEL,Traverse Town,,
188,Donkey Kong Country 3: Dixie Kong's Double Trouble!,DK Country 3: Dixie's Kong Cruise,Water World [GBA],GBA,LEVEL,Bazza's Blockade / Fish Food Frenzy / Floodlit Fish / Ripcurl Reef,,
189,Ico,Ico,You Were There,PS2,SCENE,Ending,,
190,Goemon's Adventure,Goemon's Adventure,Kai Highway,N64,LEVEL,Kai Highway / Mt. Fuji,,
191,Wild Arms 4,Wild ARMs 4,The Desire To Fly Exceeds Words,PS2,SCENE,Ending,,
192,Final Fantasy IV,Final Fantasy IV,Final Battle,SNES,BOSS,FINAL BOSS ~ Zeromus,,
193,Ōkami,Ōkami,Orca Cruise,WII,PLAY,Ryoshima Coast ~ Riding Orca,,
194,Suikoden III,Suikoden III,Exceeding Love,PS2,SCENE,Opening,,
195,Ace Combat 0: Belkan War,Ace Combat 0: Belkan War,MERLON,PS2,LEVEL,Mission 8: MERLON,,
196,Final Fantasy X-2,Final Fantasy X-2,Besaid,PS2,LEVEL,Besaid,,
197,Diablo,Diablo,Tristram,PC,LEVEL,Tristram,,
198,Faxanadu,Faxanadu,Land Of Dwarves,NES,LEVEL,Land Of Dwarves,,
199,Wild Arms 5,Wild ARMs 5,The Road To Tomorrow Follows Behind You,PS2,LEVEL,Wayward Path,,
200,The Legend of Zelda,The Legend of Zelda,Dungeon,NES,LEVEL,Dungeons,,
201,Chrono Cross,Chrono Cross,Time's Scar,PS1,SCENE,Intro,,
202,Metroid Fusion,Metroid Fusion,Sector 1,GBA,LEVEL,Sector 1,,
203,Eternal Sonata,Eternal Sonata,Leap The Precipice,X360,PLAY,Enemy Battles,,
